  236 ILHOOPES.WP1   40.47  -87.67   IL HOOPESTON
  237 ILLAHARP.WP1   40.58  -90.97   IL LA HARPE 1 SW
  238 ILMOLINE.WP1   41.45  -90.52   IL MOLINE WB AIRPORT
  239 ILPANA.WP1     39.38  -89.08   IL PANA
  240 ILPARISW.WP1   39.63  -87.70   IL PARIS WATERWORKS
  241 ILPEORIA.WP1   40.67  -89.68   IL PEORIA WB AIRPORT
  242 ILROCKFO.WP1   42.20  -89.10   IL ROCKFORD CAA AP
  243 ILSPARTA.WP1   38.13  -89.70   IL SPARTA
  244 ILWALNUT.WP1   41.55  -89.58   IL WALNUT
  245 ILWINDSO.WP1   39.43  -88.60   IL WINDSOR
  246 INDELPHI.WP1   40.58  -86.67   IN DELPHI
  247 INFTWAYN.WP1   41.00  -85.20   IN FT WAYNE WB BAER AP
  248 INGREENS.WP1   39.35  -85.48   IN GREENSBURG
  249 INHARTFO.WP1   40.43  -85.37   IN HARTFORD CITY
  250 INHOBART.WP1   41.53  -87.25   IN HOBART 1 NE
  251 ININDIAN.WP1   39.73  -86.27   IN INDIANAPOLIS WB AP
  252 INPLYMOU.WP1   41.35  -86.30   IN PLYMOUTH PWR SUB ST
  253 INSALEM.WP1    38.60  -86.10   IN SALEM
  254 INTERREH.WP1   39.35  -87.30   IN TERRE HAUTE 8 S
  255 INWASHIN.WP1   38.67  -87.18   IN WASHINGTON
  256 INWATERL.WP1   41.43  -85.03   IN WATERLOO
  257 INWESTLA.WP1   40.47  -87.00   IN WEST LAFAYETTE 6 NW
  258 KSALTON.WP1    39.47  -98.83   KS ALTON 6 E
  259 KSCEDARB.WP1   38.80  -99.73   KS CEDAR BLUFF DAM
  260 KSCENTRA.WP1   39.72  -96.13   KS CENTRALIA
  261 KSCHANUT.WP1   37.67  -95.48   KS CHANUTE CAA AP
  262 KSCOLDWA.WP1   37.27  -99.33   KS COLDWATER
  263 KSCONCOR.WP1   39.55  -97.65   KS CONCORDIA WSO AP
  264 KSCOTTON.WP1   38.37  -96.55   KS COTTONWOOD FALLS
  265 KSGREATB.WP1   38.35  -98.77   KS GREAT BEND
  266 KSHAYS.WP1     38.87  -99.33   KS HAYS 1 S
  267 KSHILLCI.WP1   39.37  -99.83   KS HILL CITY CAA AP
  268 KSHOWARD.WP1   37.48  -96.27   KS HOWARD
  269 KSLAKIN.WP1    37.93 -101.25   KS LAKIN
  270 KSLEOTI.WP1    38.48 -101.37   KS LEOTI
  271 KSMCDONA.WP1   39.78 -101.37   KS MC DONALD
  272 KSOBERLI.WP1   39.82 -100.52   KS OBERLIN
  273 KSOTTAWA.WP1   38.63  -95.25   KS OTTAWA
  274 KSPRATT.WP1    37.65   -9.73   KS PRATT
  275 KSSALINA.WP1   38.82  -97.57   KS SALINA CAA AP
  276 KSSCOTTC.WP1   38.48 -100.90   KS SCOTT CITY
  277 KSSUBLET.WP1   37.48 -100.83   KS SUBLETTE
  278 KSTRIBUN.WP1   38.47 -101.77   KS TRIBUNE 1W
  279 KSTROY.WP1     39.78  -95.08   KS TROY
  280 KSWICHIT.WP1   37.65  -97.42   KS WICHITA WB AIRPORT
  281 KSYATESC.WP1   37.88  -95.73   KS YATES CENTER
  282 KYCAMPBE.WP1   37.33  -85.35   KY CAMPBELLSVILLE
  283 KYCARROL.WP1   38.68  -85.18   KY CARROLLTON LOCK 1
  284 KYHEIDEL.WP1   37.55  -83.77   KY HEIDELBERG LOCK 14
  285 KYHOPKIN.WP1   36.87  -87.45   KY HOPKINSVILLE 2 E
  286 KYLEITCH.WP1   37.48  -86.30   KY LEITCHFIELD
  287 KYMADISO.WP1   37.33  -87.50   KY MADISONVILLE
  288 KYMIDDLE.WP1   36.62  -83.72   KY MIDDLESBORO
  289 KYMURRAY.WP1   36.62  -88.33   KY MURRAY
  290 KYSCOTTS.WP1   36.75  -86.20   KY SCOTTSVILLE
